char,male,female
珩,1299,550
冶,1298,415
也,1296,638
量,1294,95
鑄,1292,77
操,1290,79
炬,1284,167
葵,1282,1188
熊,1279,152
邵,1279,363
莎,1272,15671
宋,1259,454
珺,1257,2188
旅,1255,434
惟,1252,502
專,1250,297
遜,1250,204
樸,1239,239
煊,1234,316
嗣,1230,191
玖,1226,398
模,1224,133
傲,1223,780
至,1222,275
廉,1219,255
朱,1217,515
續,1213,263
未,1205,703
車,1200,279
翀,1198,223
又,1198,866
蘊,1191,2258
電,1190,179
集,1185,179
局,1185,216
汶,1183,771
彰,1163,69
浙,1159,262
鷗,1158,1117
教,1146,144
樟,1145,251
鹹,1144,174
婕,1143,9956
璟,1142,1226
坦,1140,224
煦,1135,444
炫,1133,377
吳,1133,455
勵,1132,549
拴,1131,158
桓,1131,193
爍,1127,548
潘,1120,397
霏,1120,2059
准,1120,129
曜,1117,114
瀾,1116,1192
淞,1115,229
墨,1112,616
工,1110,127
岑,1110,1584
灼,1104,226
玥,1103,3015
象,1101,154
諾,1100,1260
默,1098,833
米,1097,1168
主,1097,188
台,1096,428
遷,1092,259
婉,1092,10407
榜,1090,62
羿,1089,247
界,1085,119
娥,1085,18470
桑,1082,729
杜,1081,578
材,1077,37
笛,1076,1011
所,1072,153
懋,1069,161
雍,1066,259
備,1066,129
佃,1061,169
霽,1060,668
引,1057,1250
提,1054,304
熹,1047,419
敢,1045,49
岸,1038,299
練,1035,286
院,1032,304
俞,1032,716
籐,1031,186
昇,1031,50
齡,1031,980
呂,1031,342
慰,1030,520
愚,1029,176
槐,1026,444
顥,1025,294
險,1019,162
號,1017,141
貫,1012,95
吾,1011,200
栩,1011,557
式,1011,141
艮,1010,554
解,1007,252
垚,1007,344
忱,1003,451
茗,1003,1190
銅,1002,144
妹,1002,17079
午,993,183
垣,992,227
慕,991,1094
穗,987,1075
蚊,987,164
瀛,981,509
祚,980,198
輪,976,69
收,969,61
贏,969,529
禾,966,573
今,959,671
勉,957,426
萱,955,3491
禧,954,264
騏,954,153
裙,954,3472
寰,953,292
韌,948,208
沐,940,491
騁,940,159
艽,935,238
歷,928,325
律,927,255
溫,927,495
左,926,225
垂,925,112
潛,924,150
耘,923,721
